case_id	level	T	parent	alpha	facet	S3_or_X	orders	relations	intersection_condition	ip_defect	fvector	directly_regular	faithful	skeletal_polytope	geometrically_chiral	combinatorially_chiral	abstract_class	same_polytope_as	classification	note
P-W-{4,3,3}-2	2 parent search	{4,3,3}	W(T)	infinity	H_alpha({4,3,3})	word R0^-1*R1^-1*R2^-1*R1^-1*R3^-1*R2^-1*R1^-1*R0^-1*R1^-1*R2^-1	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	1	C-{4,3,3} (abstractly)	PROVED-CONSTRUCTION	abstractly isomorphic to C-{4,3,3}, geometrically: same vertex set, different edge/face/cell structure (not identical, not mirror images under R0); see comparison with the canonical candidates
P-W-{3,3,4}-1	2 parent search	{3,3,4}	W(T)	1	H_alpha({3,3,4})	word R1^-1*R0^-1	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	1	C-{4,3,3}	DUPLICATE	identical geometric polytope to C-{4,3,3}; see comparison with the canonical candidates
P-W-{3,3,4}-2	2 parent search	{3,3,4}	W(T)	infinity	H_alpha({3,3,4})	word R2^-1*R1*R2*R3*R2^-1*R1^-1*R0*R1*R2*R3	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	1	P-W-{4,3,3}-2	DUPLICATE	identical geometric polytope to P-W-{4,3,3}-2; see comparison with the canonical candidates
P-W-{5,3,3}-1	2 parent search	{5,3,3}	W(T)	0	H_alpha({5,3,3})	word R3^-1*R2^-1	[ 30, 3, 3 ]	true	true	1	[ 600, 1200, 120, 5 ]	false	true	true	true	true	2	C-{5,3,3}	DUPLICATE	identical geometric polytope to C-{5,3,3}; this is the canonical S3 = R3 R2 (alpha = 0)
P-W-{5,3,3}-2	2 parent search	{5,3,3}	W(T)	E(40)^7-E(40)^8-E(40)^13-3*E(40)^16-2*E(40)^21+E(40)^23-3*E(40)^24-2*E(40)^29+2*E(40)^31-E(40)^32-E(40)^37+2*E(40)^39	H_alpha({5,3,3})	word R1^-1*R2^-1*(R0^-1*R1^-1)^2*R2^-1*R1^-1*R0^-1*R1^-1*R3^-1*R2^-1*R1^-1*R0^-1*R1^-1*R2^-1*(R0^-1*R1^-1)^2*R2^-1*R3^-1*R2^-1*(R1^-1*R0^-1)^2*R2^-1*R1^-1*R0^-1*R3^-1*R2^-1*R1^-1*R0^-1	[ 30, 3, 3 ]	true	true	1	[ 600, 1200, 120, 5 ]	false	false	false	false	true			PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the Wythoff realisation at w is not a faithful skeletal 4-polytope
P-W-{3,3,5}-1	2 parent search	{3,3,5}	W(T)	1	H_alpha({3,3,5})	word R1^-1*R0^-1	[ 30, 3, 3 ]	true	true	1	[ 600, 1200, 120, 5 ]	false	true	true	true	true	2	C-{5,3,3}	DUPLICATE	identical geometric polytope to C-{5,3,3}; see comparison with the canonical candidates
P-W-{3,3,5}-2	2 parent search	{3,3,5}	W(T)	-E(40)^7+E(40)^13+2*E(40)^16+2*E(40)^21-E(40)^23+2*E(40)^24+2*E(40)^29-2*E(40)^31+E(40)^37-2*E(40)^39	H_alpha({3,3,5})	word R0^-1*R1^-1*R3^-1*(R2^-1*R3^-1*R1^-1*R2^-1*R3^-1*R0^-1*R1^-1)^2*R2^-1*R3^-1*R2^-1*R1^-1*R3^-1*(R3^-1*R1^-1)^2*(R2^-1*R0^-1)^2*R0^-1*R3^-2*R1^-2*R3^-2*R0^-1*R1^-2*R2^-1*R1^-5*R3^-1*R2^-2*R0^-1*R1^-1*R2^-1*R0^-2*R2^-1*R3^-2*(R0^-2*R2^-1)^2*R0^-1*R2^-1*R1^-2*R3^-1*(R1^-1*R2^-1)^2*R2^-1*R3^-1*R0^-1*R1^-3*R0^-2*R2^-1*R0^-1*R3^-1*(R2^-1*R0^-1*R1^-1)^2*R0^-1*R3^-2*R1^-1*R3^-2*R2^-1*R3^-1*(R2^-1*R3^-1*R1^-1)^2*R2^-1*R1^-1*R0^-1	[ 30, 3, 3 ]	true	true	1	[ 600, 1200, 120, 5 ]	false	false	false	false	true			PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the Wythoff realisation at w is not a faithful skeletal 4-polytope
P-W-{5,3,5/2}-1	2 parent search	{5,3,5/2}	W(T)	0	H_alpha({5,3,5/2})	word R3^-1*R2^-1	[ 12, 3, 5 ]	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	true	3	C-{5,3,5/2}	DUPLICATE	identical geometric polytope to C-{5,3,5/2}; this is the canonical S3 = R3 R2 (alpha = 0)
P-W-{5,3,5/2}-2	2 parent search	{5,3,5/2}	W(T)	1	H_alpha({5,3,5/2})	word R1^-1*R0^-1	[ 12, 3, 5 ]	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	true	3	C-{5/2,3,5}	DUPLICATE	identical geometric polytope to C-{5/2,3,5}; see comparison with the canonical candidates
P-W-{5/2,3,5}-1	2 parent search	{5/2,3,5}	W(T)	0	H_alpha({5/2,3,5})	word R3^-1*R2^-1	[ 12, 3, 5 ]	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	true	3	C-{5/2,3,5}	DUPLICATE	identical geometric polytope to C-{5/2,3,5}; this is the canonical S3 = R3 R2 (alpha = 0)
P-W-{5/2,3,5}-2	2 parent search	{5/2,3,5}	W(T)	1	H_alpha({5/2,3,5})	word R1^-1*R0^-1	[ 12, 3, 5 ]	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	true	3	C-{5,3,5/2}	DUPLICATE	identical geometric polytope to C-{5,3,5/2}; see comparison with the canonical candidates
P-W-{3,3,5/2}-1	2 parent search	{3,3,5/2}	W(T)	1	H_alpha({3,3,5/2})	word R1^-1*R0^-1	[ 30, 3, 3 ]	true	true	1	[ 600, 1200, 120, 5 ]	false	true	true	true	true	2	C-{5/2,3,3}	DUPLICATE	identical geometric polytope to C-{5/2,3,3}; see comparison with the canonical candidates
P-W-{3,3,5/2}-2	2 parent search	{3,3,5/2}	W(T)	-2*E(40)^7+2*E(40)^8+2*E(40)^13+E(40)^21-2*E(40)^23+E(40)^29-E(40)^31+2*E(40)^32+2*E(40)^37-E(40)^39	H_alpha({3,3,5/2})	word R3^-1*(R2^-1*R3^-1*R1^-1)^2*R2^-1*R0*R1*R2*R3*R2*R1*R0*(R3*R2*R1)^2*R0*R3*R2^-1*R1^-1*R0^-1*(R3^-1*R2^-1*R1^-1)^2*R3^-1*R2^-1	[ 30, 3, 3 ]	true	true	1	[ 600, 1200, 120, 5 ]	false	false	false	false	true			PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the Wythoff realisation at w is not a faithful skeletal 4-polytope
P-W-{5/2,3,3}-1	2 parent search	{5/2,3,3}	W(T)	0	H_alpha({5/2,3,3})	word R3^-1*R2^-1	[ 30, 3, 3 ]	true	true	1	[ 600, 1200, 120, 5 ]	false	true	true	true	true	2	C-{5/2,3,3}	DUPLICATE	identical geometric polytope to C-{5/2,3,3}; this is the canonical S3 = R3 R2 (alpha = 0)
P-W-{5/2,3,3}-2	2 parent search	{5/2,3,3}	W(T)	2*E(40)^7-3*E(40)^8-2*E(40)^13-E(40)^16-E(40)^21+2*E(40)^23-E(40)^24-E(40)^29+E(40)^31-3*E(40)^32-2*E(40)^37+E(40)^39	H_alpha({5/2,3,3})	word R3*R2*R1*R0*R1*R2*R3*R0*R1*R0*R2*(R1*R0)^2*R2*R3*(R0^-1*R1^-1)^2*R2^-1*R3^-1*R2^-1*R1^-1*R0^-1*R1^-1*R0*R2*R1*R0*R1*R2*R3*R2^-1*R1^-1*R0^-1*R1^-1*R2^-1*(R0^-1*R1^-1)^2*R2^-1*R3^-1*R2^-1*R1^-1*R0^-1*R1^-1*R0*R1*R2*R1*R0*R1*R2*R0^-1*R1^-1*R0^-1*R3	[ 30, 3, 3 ]	true	true	1	[ 600, 1200, 120, 5 ]	false	false	false	false	true			PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the Wythoff realisation at w is not a faithful skeletal 4-polytope
P-H4-{3,3,3}-1	2 parent search	{3,3,3}in[3,3,5]	[3,3,5]	-E(5)-E(5)^4	H_alpha({3,3,3}in[3,3,5])	outside W(T); order 3, det 1	[ 5, 3, 3 ]	true	true	1	[ 600, 1200, 720, 120 ]	true	false	false	false	false			PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the Wythoff realisation at w is not a faithful skeletal 4-polytope
P-H4-{3,3,3}-2	2 parent search	{3,3,3}in[3,3,5]	[3,3,5]	-E(5)^2-E(5)^3	H_alpha({3,3,3}in[3,3,5])	outside W(T); order 3, det 1	[ 5, 3, 3 ]	true	true	1	[ 600, 1200, 720, 120 ]	true	false	false	false	false			PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the Wythoff realisation at w is not a faithful skeletal 4-polytope
P-H4-{3,3,3}*-1	2 parent search	{3,3,3}*in[3,3,5]	[3,3,5]	-E(5)^2-E(5)^3	H_alpha({3,3,3}*in[3,3,5])	outside W(T); order 3, det 1	[ 5, 3, 3 ]	true	true	1	[ 600, 1200, 720, 120 ]	true	false	false	false	false			PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the Wythoff realisation at w is not a faithful skeletal 4-polytope
P-H4-{3,3,3}*-2	2 parent search	{3,3,3}*in[3,3,5]	[3,3,5]	-E(5)-E(5)^4	H_alpha({3,3,3}*in[3,3,5])	outside W(T); order 3, det 1	[ 5, 3, 3 ]	true	true	1	[ 600, 1200, 720, 120 ]	true	false	false	false	false			PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the Wythoff realisation at w is not a faithful skeletal 4-polytope
P-F4-{4,3,3}-1	2 parent search	{4,3,3}	[3,4,3]	0	H_alpha({4,3,3})	word R3^-1*R2^-1	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	1	C-{4,3,3}	DUPLICATE	identical geometric polytope to C-{4,3,3}; this is the canonical S3 = R3 R2 (alpha = 0)
P-F4-{4,3,3}-2	2 parent search	{4,3,3}	[3,4,3]	infinity	H_alpha({4,3,3})	word R0^-1*R1^-1*R2^-1*R1^-1*R3^-1*R2^-1*R1^-1*R0^-1*R1^-1*R2^-1	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	1	P-W-{4,3,3}-2	DUPLICATE	identical geometric polytope to P-W-{4,3,3}-2; see comparison with the canonical candidates
P-FF4-{4,3,3}-1	2 parent search	{4,3,3}	[[3,4,3]]	0	H_alpha({4,3,3})	word R3^-1*R2^-1	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	1	C-{4,3,3}	DUPLICATE	identical geometric polytope to C-{4,3,3}; this is the canonical S3 = R3 R2 (alpha = 0)
P-FF4-{4,3,3}-2	2 parent search	{4,3,3}	[[3,4,3]]	infinity	H_alpha({4,3,3})	word R0^-1*R1^-1*R2^-1*R1^-1*R3^-1*R2^-1*R1^-1*R0^-1*R1^-1*R2^-1	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	1	P-W-{4,3,3}-2	DUPLICATE	identical geometric polytope to P-W-{4,3,3}-2; see comparison with the canonical candidates
P-F4-{3,3,4}-1	2 parent search	{3,3,4}	[3,4,3]	1	H_alpha({3,3,4})	word R1^-1*R0^-1	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	1	C-{4,3,3}	DUPLICATE	identical geometric polytope to C-{4,3,3}; see comparison with the canonical candidates
P-F4-{3,3,4}-2	2 parent search	{3,3,4}	[3,4,3]	infinity	H_alpha({3,3,4})	word R2^-1*R1*R2*R3*R2^-1*R1^-1*R0*R1*R2*R3	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	1	P-W-{4,3,3}-2	DUPLICATE	identical geometric polytope to P-W-{4,3,3}-2; see comparison with the canonical candidates
P-FF4-{3,3,4}-1	2 parent search	{3,3,4}	[[3,4,3]]	1	H_alpha({3,3,4})	word R1^-1*R0^-1	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	1	C-{4,3,3}	DUPLICATE	identical geometric polytope to C-{4,3,3}; see comparison with the canonical candidates
P-FF4-{3,3,4}-2	2 parent search	{3,3,4}	[[3,4,3]]	infinity	H_alpha({3,3,4})	word R2^-1*R1*R2*R3*R2^-1*R1^-1*R0*R1*R2*R3	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	1	P-W-{4,3,3}-2	DUPLICATE	identical geometric polytope to P-W-{4,3,3}-2; see comparison with the canonical candidates
L3-{3,3,3}-1	3 all isometries	{3,3,3}	O(4)	1	H_alpha({3,3,3})	X_alpha (unique, Prop. E1)	3	true	false	4	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 4
L3-{3,3,3}-2	3 all isometries	{3,3,3}	O(4)	-E(5)^2-E(5)^3	H_alpha({3,3,3})	X_alpha (unique, Prop. E1)	3	true	true	1	[ 600, 1200, 720, 120 ]	true	false	false	false	false			PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the realisation is not faithful
L3-{3,3,3}-3	3 all isometries	{3,3,3}	O(4)	-E(5)-E(5)^4	H_alpha({3,3,3})	X_alpha (unique, Prop. E1)	3	true	true	1	[ 600, 1200, 720, 120 ]	true	false	false	false	false			PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the realisation is not faithful
L3-{3,3,3}-4	3 all isometries	{3,3,3}	O(4)	0	H_alpha({3,3,3})	X_alpha (unique, Prop. E1)	3	true	false	4	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 4
L3-{4,3,3}-1	3 all isometries	{4,3,3}	O(4)	1/2	H_alpha({4,3,3})	X_alpha (unique, Prop. E1)	3	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	1	C-{4,3,3} (abstractly)	PROVED-CONSTRUCTION	abstractly isomorphic to C-{4,3,3}, geometrically: congruent vertex sets (same Gram invariant); no vertex of b is parallel to a vertex of a, so the vertex sets differ; faithful chiral skeletal 4-polytope
L3-{4,3,3}-2	3 all isometries	{4,3,3}	O(4)	2	H_alpha({4,3,3})	X_alpha (unique, Prop. E1)	3	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	1	C-{4,3,3} (abstractly)	PROVED-CONSTRUCTION	abstractly isomorphic to C-{4,3,3}, geometrically: congruent vertex sets (same Gram invariant); no vertex of b is parallel to a vertex of a, so the vertex sets differ; faithful chiral skeletal 4-polytope
L3-{4,3,3}-3	3 all isometries	{4,3,3}	O(4)	infinity	H_alpha({4,3,3})	X_alpha (unique, Prop. E1)	3	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	1	P-W-{4,3,3}-2	DUPLICATE	identical geometric polytope to P-W-{4,3,3}-2; faithful chiral skeletal 4-polytope
L3-{4,3,3}-4	3 all isometries	{4,3,3}	O(4)	1	H_alpha({4,3,3})	X_alpha (unique, Prop. E1)	4	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{4,3,3}-5	3 all isometries	{4,3,3}	O(4)	-1	H_alpha({4,3,3})	X_alpha (unique, Prop. E1)	4	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{4,3,3}-6	3 all isometries	{4,3,3}	O(4)	0	H_alpha({4,3,3})	X_alpha (unique, Prop. E1)	3	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	1	C-{4,3,3}	DUPLICATE	identical geometric polytope to C-{4,3,3}; faithful chiral skeletal 4-polytope
L3-{3,4,3}-1	3 all isometries	{3,4,3}	O(4)	1	H_alpha({3,4,3})	X_alpha (unique, Prop. E1)	3	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,4,3}-2	3 all isometries	{3,4,3}	O(4)	2+E(8)-E(8)^3	H_alpha({3,4,3})	X_alpha (unique, Prop. E1)	3	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,4,3}-3	3 all isometries	{3,4,3}	O(4)	-1-E(8)+E(8)^3	H_alpha({3,4,3})	X_alpha (unique, Prop. E1)	3	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,4,3}-4	3 all isometries	{3,4,3}	O(4)	0	H_alpha({3,4,3})	X_alpha (unique, Prop. E1)	3	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{5,3,3}-1	3 all isometries	{5,3,3}	O(4)	-4*E(40)^7+5*E(40)^8+4*E(40)^13+15*E(40)^16+11*E(40)^21-4*E(40)^23+15*E(40)^24+11*E(40)^29-11*E(40)^31+5*E(40)^32+4*E(40)^37-11*E(40)^39	H_alpha({5,3,3})	X_alpha (unique, Prop. E1)	3	true	true	1	[ 600, 1200, 120, 5 ]	false	false	false	false	true			PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the realisation is not faithful
L3-{5,3,3}-2	3 all isometries	{5,3,3}	O(4)	E(40)^7-E(40)^8-E(40)^13-3*E(40)^16-2*E(40)^21+E(40)^23-3*E(40)^24-2*E(40)^29+2*E(40)^31-E(40)^32-E(40)^37+2*E(40)^39	H_alpha({5,3,3})	X_alpha (unique, Prop. E1)	3	true	true	1	[ 600, 1200, 120, 5 ]	false	false	false	false	true			PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the realisation is not faithful
L3-{5,3,3}-3	3 all isometries	{5,3,3}	O(4)	2*E(40)^7-3*E(40)^8-2*E(40)^13-E(40)^16-E(40)^21+2*E(40)^23-E(40)^24-E(40)^29+E(40)^31-3*E(40)^32-2*E(40)^37+E(40)^39	H_alpha({5,3,3})	X_alpha (unique, Prop. E1)	3	true	true	1	[ 600, 1200, 120, 5 ]	false	true	true	true	true	2	C-{5,3,3} (abstractly)	PROVED-CONSTRUCTION	abstractly isomorphic to C-{5,3,3}, geometrically: congruent vertex sets (same Gram invariant); no vertex of b is parallel to a vertex of a, so the vertex sets differ; faithful chiral skeletal 4-polytope
L3-{5,3,3}-4	3 all isometries	{5,3,3}	O(4)	1	H_alpha({5,3,3})	X_alpha (unique, Prop. E1)	5	true	false	4	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 4
L3-{5,3,3}-5	3 all isometries	{5,3,3}	O(4)	-1/3*E(40)^8-E(40)^16-1/3*E(40)^21-E(40)^24-1/3*E(40)^29+1/3*E(40)^31-1/3*E(40)^32+1/3*E(40)^39	H_alpha({5,3,3})	X_alpha (unique, Prop. E1)	5	true	false	4	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 4
L3-{5,3,3}-6	3 all isometries	{5,3,3}	O(4)	-2*E(40)^7-3*E(40)^8+2*E(40)^13-E(40)^16+E(40)^21-2*E(40)^23-E(40)^24+E(40)^29-E(40)^31-3*E(40)^32+2*E(40)^37-E(40)^39	H_alpha({5,3,3})	X_alpha (unique, Prop. E1)	5	true	false	4	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 4
L3-{5,3,3}-7	3 all isometries	{5,3,3}	O(4)	-1-E(8)+E(8)^3	H_alpha({5,3,3})	X_alpha (unique, Prop. E1)	5	true	false	4	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 4
L3-{5,3,3}-8	3 all isometries	{5,3,3}	O(4)	0	H_alpha({5,3,3})	X_alpha (unique, Prop. E1)	3	true	true	1	[ 600, 1200, 120, 5 ]	false	true	true	true	true	2	C-{5,3,3}	DUPLICATE	identical geometric polytope to C-{5,3,3}; faithful chiral skeletal 4-polytope
L3-{3,5,5/2}-1	3 all isometries	{3,5,5/2}	O(4)	1	H_alpha({3,5,5/2})	X_alpha (unique, Prop. E1)	3	true	false	2	-	-	-	-	-	-			PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
