case_id	T	m_target	k	t	alpha	alpha_numeric	X_order	vertex_figure_group	relations	intersection_condition	ip_defect	fvector	directly_regular	faithful	skeletal_polytope	geometrically_chiral	classification	note
L3-{3,5,5/2}-1	{3,5,5/2}	3	1	0	1	-	3	60	true	false	2	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,5,5/2}-2	{3,5,5/2}	3	1	-1/2	-E(5)-2*E(5)^2-2*E(5)^3-E(5)^4	-	3	60	true	false	2	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,5,5/2}-3	{3,5,5/2}	3	1	-1	E(5)+3*E(5)^2+3*E(5)^3+E(5)^4	-	3	60	true	false	2	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,5,5/2}-4	{3,5,5/2}	3	1	1/2*E(5)+3/2*E(5)^2+3/2*E(5)^3+1/2*E(5)^4	-E(5)-E(5)^4	-	3	60	true	false	2	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,5,5/2}-5	{3,5,5/2}	fail	fail	infinity	0	-	5	60	true	false	2	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{5,5/2,5}-1	{5,5/2,5}	fail	fail	infinity	0	-	5	60	true	false	12	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 12
L3-{5,3,5/2}-1	{5,3,5/2}	3	1	E(40)^7+3/2*E(40)^8-E(40)^13+3*E(40)^16-2*E(40)^21+E(40)^23+3*E(40)^24-2*E(40)^29+2*E(40)^31+3/2*E(40)^32-E(40)^37+2*E(40)^39	2/3*E(40)^7-1/3*E(40)^8-2/3*E(40)^13-2/3*E(40)^16-2/3*E(40)^21+2/3*E(40)^23-2/3*E(40)^24-2/3*E(40)^29+2/3*E(40)^31-1/3*E(40)^32-2/3*E(40)^37+2/3*E(40)^39	-	3	12	true	true	1	[ 240, 480, 120, 20 ]	true	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-2	{5,3,5/2}	3	1	-E(40)^7+3/2*E(40)^8+E(40)^13+3*E(40)^16+2*E(40)^21-E(40)^23+3*E(40)^24+2*E(40)^29-2*E(40)^31+3/2*E(40)^32+E(40)^37-2*E(40)^39	-2/3*E(40)^7-1/3*E(40)^8+2/3*E(40)^13-2/3*E(40)^16+2/3*E(40)^21-2/3*E(40)^23-2/3*E(40)^24+2/3*E(40)^29-2/3*E(40)^31-1/3*E(40)^32+2/3*E(40)^37-2/3*E(40)^39	-	3	12	true	true	1	[ 240, 480, 120, 20 ]	true	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-3	{5,3,5/2}	3	1	-1/2*E(40)^16-1/2*E(40)^21-1/2*E(40)^24-1/2*E(40)^29+1/2*E(40)^31+1/2*E(40)^39	-E(40)^7+E(40)^13-E(40)^16+E(40)^21-E(40)^23-E(40)^24+E(40)^29-E(40)^31+E(40)^37-E(40)^39	-	3	12	true	true	1	[ 240, 480, 120, 20 ]	true	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-4	{5,3,5/2}	3	1	-1/2*E(40)^16+1/2*E(40)^21-1/2*E(40)^24+1/2*E(40)^29-1/2*E(40)^31-1/2*E(40)^39	E(40)^7-E(40)^13-E(40)^16-E(40)^21+E(40)^23-E(40)^24-E(40)^29+E(40)^31-E(40)^37+E(40)^39	-	3	12	true	true	1	[ 240, 480, 120, 20 ]	true	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-5	{5,3,5/2}	4	1	1/2*E(40)^8+E(40)^16-1/2*E(40)^21+E(40)^24-1/2*E(40)^29+1/2*E(40)^31+1/2*E(40)^32+1/2*E(40)^39	-E(40)^7+E(40)^8+E(40)^13-E(40)^23+E(40)^32+E(40)^37	-	4	24	true	true	1	[ 48, 144, 48, 8 ]	false	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-6	{5,3,5/2}	4	1	1/2*E(40)^8+E(40)^16+1/2*E(40)^21+E(40)^24+1/2*E(40)^29-1/2*E(40)^31+1/2*E(40)^32-1/2*E(40)^39	E(40)^7+E(40)^8-E(40)^13+E(40)^23+E(40)^32-E(40)^37	-	4	24	true	true	1	[ 48, 144, 48, 8 ]	false	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-7	{5,3,5/2}	4	1	1/2*E(40)^7+1/2*E(40)^8-1/2*E(40)^13-1/2*E(40)^21+1/2*E(40)^23-1/2*E(40)^29+1/2*E(40)^31+1/2*E(40)^32-1/2*E(40)^37+1/2*E(40)^39	-E(40)^8-2*E(40)^16+E(40)^21-2*E(40)^24+E(40)^29-E(40)^31-E(40)^32-E(40)^39	-	4	24	true	true	1	[ 48, 144, 48, 8 ]	false	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-8	{5,3,5/2}	4	1	-1/2*E(40)^7+1/2*E(40)^8+1/2*E(40)^13+1/2*E(40)^21-1/2*E(40)^23+1/2*E(40)^29-1/2*E(40)^31+1/2*E(40)^32+1/2*E(40)^37-1/2*E(40)^39	-E(40)^8-2*E(40)^16-E(40)^21-2*E(40)^24-E(40)^29+E(40)^31-E(40)^32+E(40)^39	-	4	24	true	true	1	[ 48, 144, 48, 8 ]	false	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-9	{5,3,5/2}	5	1	0	1	-	5	60	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-10	{5,3,5/2}	5	1	-1	-1	-	5	60	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-11	{5,3,5/2}	5	1	1/2*E(5)+1/2*E(5)^4	E(5)+E(5)^4	-	5	60	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-12	{5,3,5/2}	5	1	1/10*E(5)+2/5*E(5)^2+2/5*E(5)^3+1/10*E(5)^4	E(5)+4*E(5)^2+4*E(5)^3+E(5)^4	-	5	60	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-13	{5,3,5/2}	5	2	-1/4	2	-	5	60	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-14	{5,3,5/2}	5	2	-1/2*E(5)-1/2*E(5)^4	-E(5)-2*E(5)^2-2*E(5)^3-E(5)^4	-	5	60	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-15	{5,3,5/2}	5	2	-1/2*E(5)-2*E(5)^2-2*E(5)^3-1/2*E(5)^4	-5*E(5)-2*E(5)^2-2*E(5)^3-5*E(5)^4	-	5	60	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{5,3,5/2}-16	{5,3,5/2}	fail	fail	infinity	0	-	5	60	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{3,3,5/2}-1	{3,3,5/2}	3	1	0	1	-	3	12	true	true	1	[ 600, 1200, 120, 5 ]	false	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{3,3,5/2}-2	{3,3,5/2}	3	1	3/4*E(5)+1/2*E(5)^2+1/2*E(5)^3+3/4*E(5)^4	11*E(40)^7-16*E(40)^8-11*E(40)^13-6*E(40)^16-4*E(40)^21+11*E(40)^23-6*E(40)^24-4*E(40)^29+4*E(40)^31-16*E(40)^32-11*E(40)^37+4*E(40)^39	-	3	12	true	true	1	[ 600, 1200, 120, 5 ]	false	false	false	false	PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the realisation is not faithful
L3-{3,3,5/2}-3	{3,3,5/2}	3	1	3/4*E(5)+1/4*E(5)^2+1/4*E(5)^3+3/4*E(5)^4	-2*E(40)^7+2*E(40)^8+2*E(40)^13+E(40)^21-2*E(40)^23+E(40)^29-E(40)^31+2*E(40)^32+2*E(40)^37-E(40)^39	-	3	12	true	true	1	[ 600, 1200, 120, 5 ]	false	false	false	false	PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the realisation is not faithful
L3-{3,3,5/2}-4	{3,3,5/2}	3	1	-1/4*E(5)-1/4*E(5)^4	-E(40)^7+E(40)^13+2*E(40)^16+2*E(40)^21-E(40)^23+2*E(40)^24+2*E(40)^29-2*E(40)^31+E(40)^37-2*E(40)^39	-	3	12	true	true	1	[ 600, 1200, 120, 5 ]	false	true	true	true	PROVED-CONSTRUCTION	faithful chiral skeletal 4-polytope
L3-{3,3,5/2}-5	{3,3,5/2}	5	2	5/4*E(5)+1/2*E(5)^2+1/2*E(5)^3+5/4*E(5)^4	-1/3*E(40)^7+1/3*E(40)^13-2/3*E(40)^16-1/3*E(40)^23-2/3*E(40)^24+1/3*E(40)^37	-	5	60	true	false	4	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 4
L3-{3,3,5/2}-6	{3,3,5/2}	5	2	1/2*E(5)+1/4*E(5)^2+1/4*E(5)^3+1/2*E(5)^4	2+E(8)-E(8)^3	-	5	60	true	false	4	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 4
L3-{3,3,5/2}-7	{3,3,5/2}	5	2	1/4*E(5)+1/4*E(5)^4	E(40)^7-E(40)^13+2*E(40)^16-2*E(40)^21+E(40)^23+2*E(40)^24-2*E(40)^29+2*E(40)^31-E(40)^37+2*E(40)^39	-	5	60	true	false	4	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 4
L3-{3,3,5/2}-8	{3,3,5/2}	fail	fail	infinity	0	-	5	60	true	false	4	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 4
L3-{3,5/2,5}-1	{3,5/2,5}	3	1	0	1	-	3	60	true	false	2	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,5/2,5}-2	{3,5/2,5}	3	1	-1/2	E(5)^2+E(5)^3	-	3	60	true	false	2	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,5/2,5}-3	{3,5/2,5}	3	1	-1	-1/5*E(5)+1/5*E(5)^2+1/5*E(5)^3-1/5*E(5)^4	-	3	60	true	false	2	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,5/2,5}-4	{3,5/2,5}	3	1	3/2*E(5)+1/2*E(5)^2+1/2*E(5)^3+3/2*E(5)^4	-2/5*E(5)-3/5*E(5)^2-3/5*E(5)^3-2/5*E(5)^4	-	3	60	true	false	2	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{3,5/2,5}-5	{3,5/2,5}	fail	fail	infinity	0	-	5	60	true	false	2	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 2
L3-{5/2,5,5/2}-1	{5/2,5,5/2}	fail	fail	infinity	0	-	5	60	true	false	12	-	-	-	-	-	PROVED-OBSTRUCTION-IN-PARENT	intersection condition fails, defect 12
