case_id	T	parent	parent_order	alpha	ab_coordinates	X_order	X_description	facet	orders	string_relations	intersection_condition	ip_defect	fvector	directly_regular	faithful	skeletal_polytope	geometrically_chiral	combinatorially_chiral	classification	note
P-W-{5/2,3,5}-1	{5/2,3,5}	W(T)	14400	0	[ 1, 0 ]	5	word R3^-1*R2^-1	H_alpha({5/2,3,5})	[ 12, 3, 5 ]	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	true	PROVED-CONSTRUCTION	this is the canonical S3 = R3 R2 (alpha = 0)
P-W-{5/2,3,5}-2	{5/2,3,5}	W(T)	14400	1	[ 0, 1 ]	5	word R1^-1*R0^-1	H_alpha({5/2,3,5})	[ 12, 3, 5 ]	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	true	PROVED-CONSTRUCTION	see comparison with the canonical candidates
P-W-{3,3,5/2}-1	{3,3,5/2}	W(T)	14400	1	[ 0, 1 ]	3	word R1^-1*R0^-1	H_alpha({3,3,5/2})	[ 30, 3, 3 ]	true	true	1	[ 600, 1200, 120, 5 ]	false	true	true	true	true	PROVED-CONSTRUCTION	see comparison with the canonical candidates
P-W-{3,3,5/2}-2	{3,3,5/2}	W(T)	14400	-2*E(40)^7+2*E(40)^8+2*E(40)^13+E(40)^21-2*E(40)^23+E(40)^29-E(40)^31+2*E(40)^32+2*E(40)^37-E(40)^39	[ 3/4*E(5)+1/4*E(5)^2+1/4*E(5)^3+3/4*E(5)^4, 1 ]	3	word R3^-1*(R2^-1*R3^-1*R1^-1)^2*R2^-1*R0*R1*R2*R3*R2*R1*R0*(R3*R2*R1)^2*R0*R3*R2^-1*R1^-1*R0^-1*(R3^-1*R2^-1*R1^-1)^2*R3^-1*R2^-1	H_alpha({3,3,5/2})	[ 30, 3, 3 ]	true	true	1	[ 600, 1200, 120, 5 ]	false	false	false	false	true	PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the Wythoff realisation at w is not a faithful skeletal 4-polytope
P-W-{5/2,3,3}-1	{5/2,3,3}	W(T)	14400	0	[ 1, 0 ]	3	word R3^-1*R2^-1	H_alpha({5/2,3,3})	[ 30, 3, 3 ]	true	true	1	[ 600, 1200, 120, 5 ]	false	true	true	true	true	PROVED-CONSTRUCTION	this is the canonical S3 = R3 R2 (alpha = 0)
P-W-{5/2,3,3}-2	{5/2,3,3}	W(T)	14400	2*E(40)^7-3*E(40)^8-2*E(40)^13-E(40)^16-E(40)^21+2*E(40)^23-E(40)^24-E(40)^29+E(40)^31-3*E(40)^32-2*E(40)^37+E(40)^39	[ 1/2*E(5)+1/2*E(5)^4, 1 ]	3	word R3*R2*R1*R0*R1*R2*R3*R0*R1*R0*R2*(R1*R0)^2*R2*R3*(R0^-1*R1^-1)^2*R2^-1*R3^-1*R2^-1*R1^-1*R0^-1*R1^-1*R0*R2*R1*R0*R1*R2*R3*R2^-1*R1^-1*R0^-1*R1^-1*R2^-1*(R0^-1*R1^-1)^2*R2^-1*R3^-1*R2^-1*R1^-1*R0^-1*R1^-1*R0*R1*R2*R1*R0*R1*R2*R0^-1*R1^-1*R0^-1*R3	H_alpha({5/2,3,3})	[ 30, 3, 3 ]	true	true	1	[ 600, 1200, 120, 5 ]	false	false	false	false	true	PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the Wythoff realisation at w is not a faithful skeletal 4-polytope
P-H4-{3,3,3}-1	{3,3,3}in[3,3,5]	[3,3,5]	14400	-E(5)-E(5)^4	[ 1/4*E(5)+1/2*E(5)^2+1/2*E(5)^3+1/4*E(5)^4, 1 ]	3	outside W(T); order 3, det 1	H_alpha({3,3,3}in[3,3,5])	[ 5, 3, 3 ]	true	true	1	[ 600, 1200, 720, 120 ]	true	false	false	false	false	PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the Wythoff realisation at w is not a faithful skeletal 4-polytope
P-H4-{3,3,3}-2	{3,3,3}in[3,3,5]	[3,3,5]	14400	-E(5)^2-E(5)^3	[ 1/2*E(5)+1/4*E(5)^2+1/4*E(5)^3+1/2*E(5)^4, 1 ]	3	outside W(T); order 3, det 1	H_alpha({3,3,3}in[3,3,5])	[ 5, 3, 3 ]	true	true	1	[ 600, 1200, 720, 120 ]	true	false	false	false	false	PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the Wythoff realisation at w is not a faithful skeletal 4-polytope
P-H4-{3,3,3}*-1	{3,3,3}*in[3,3,5]	[3,3,5]	14400	-E(5)^2-E(5)^3	[ 1/2*E(5)+1/4*E(5)^2+1/4*E(5)^3+1/2*E(5)^4, 1 ]	3	outside W(T); order 3, det 1	H_alpha({3,3,3}*in[3,3,5])	[ 5, 3, 3 ]	true	true	1	[ 600, 1200, 720, 120 ]	true	false	false	false	false	PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the Wythoff realisation at w is not a faithful skeletal 4-polytope
P-H4-{3,3,3}*-2	{3,3,3}*in[3,3,5]	[3,3,5]	14400	-E(5)-E(5)^4	[ 1/4*E(5)+1/2*E(5)^2+1/2*E(5)^3+1/4*E(5)^4, 1 ]	3	outside W(T); order 3, det 1	H_alpha({3,3,3}*in[3,3,5])	[ 5, 3, 3 ]	true	true	1	[ 600, 1200, 720, 120 ]	true	false	false	false	false	PROVED-OBSTRUCTION-IN-PARENT	abstract polytope exists but the Wythoff realisation at w is not a faithful skeletal 4-polytope
P-F4-{4,3,3}-1	{4,3,3}	[3,4,3]	1152	0	[ 1, 0 ]	3	word R3^-1*R2^-1	H_alpha({4,3,3})	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	PROVED-CONSTRUCTION	this is the canonical S3 = R3 R2 (alpha = 0)
P-F4-{4,3,3}-2	{4,3,3}	[3,4,3]	1152	infinity	[ -1/2, 1 ]	3	word R0^-1*R1^-1*R2^-1*R1^-1*R3^-1*R2^-1*R1^-1*R0^-1*R1^-1*R2^-1	H_alpha({4,3,3})	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	PROVED-CONSTRUCTION	see comparison with the canonical candidates
P-FF4-{4,3,3}-1	{4,3,3}	[[3,4,3]]	2304	0	[ 1, 0 ]	3	word R3^-1*R2^-1	H_alpha({4,3,3})	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	PROVED-CONSTRUCTION	this is the canonical S3 = R3 R2 (alpha = 0)
P-FF4-{4,3,3}-2	{4,3,3}	[[3,4,3]]	2304	infinity	[ -1/2, 1 ]	3	word R0^-1*R1^-1*R2^-1*R1^-1*R3^-1*R2^-1*R1^-1*R0^-1*R1^-1*R2^-1	H_alpha({4,3,3})	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	PROVED-CONSTRUCTION	see comparison with the canonical candidates
P-F4-{3,3,4}-1	{3,3,4}	[3,4,3]	1152	1	[ 0, 1 ]	3	word R1^-1*R0^-1	H_alpha({3,3,4})	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	PROVED-CONSTRUCTION	see comparison with the canonical candidates
P-F4-{3,3,4}-2	{3,3,4}	[3,4,3]	1152	infinity	[ -1/2, 1 ]	3	word R2^-1*R1*R2*R3*R2^-1*R1^-1*R0*R1*R2*R3	H_alpha({3,3,4})	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	PROVED-CONSTRUCTION	see comparison with the canonical candidates
P-FF4-{3,3,4}-1	{3,3,4}	[[3,4,3]]	2304	1	[ 0, 1 ]	3	word R1^-1*R0^-1	H_alpha({3,3,4})	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	PROVED-CONSTRUCTION	see comparison with the canonical candidates
P-FF4-{3,3,4}-2	{3,3,4}	[[3,4,3]]	2304	infinity	[ -1/2, 1 ]	3	word R2^-1*R1*R2*R3*R2^-1*R1^-1*R0*R1*R2*R3	H_alpha({3,3,4})	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	PROVED-CONSTRUCTION	see comparison with the canonical candidates
